Dates,Preference,Feature Scaling
January 10 2024 (NE),10,0.0243902439
January 10 2024 (SV),10,0.0243902439
January 11 2024 (NE),10,0.0243902439
January 11 2024 (SV),10,0.0243902439
January 12 2024 (NE),10,0.0243902439
January 12 2024 (SV),10,0.0243902439
January 13 2024 (NE),10,0.0243902439
January 13 2024 (SV),10,0.0243902439
January 14 2024 (NE),10,0.0243902439
January 14 2024 (SV),10,0.0243902439
January 15 2024 (NE),10,0.0243902439
January 15 2024 (SV),10,0.0243902439
January 16 2024 (NE),10,0.0243902439
January 16 2024 (SV),10,0.0243902439
January 17 2024 (NE),10,0.0243902439
January 17 2024 (SV),10,0.0243902439
January 18 2024 (NE),10,0.0243902439
January 18 2024 (SV),10,0.0243902439
January 19 2024 (NE),10,0.0243902439
January 19 2024 (SV),10,0.0243902439
January 20 2024 (NE),10,0.0243902439
January 20 2024 (SV),10,0.0243902439
January 21 2024 (NE),10,0.0243902439
January 21 2024 (SV),10,0.0243902439
January 22 2024 (NE),10,0.0243902439
January 22 2024 (SV),10,0.0243902439
January 23 2024 (NE),10,0.0243902439
January 23 2024 (SV),10,0.0243902439
January 24 2024 (NE),10,0.0243902439
January 24 2024 (SV),10,0.0243902439
January 25 2024 (NE),10,0.0243902439
January 25 2024 (SV),10,0.0243902439
January 26 2024 (NE),10,0.0243902439
January 26 2024 (SV),10,0.0243902439
January 27 2024 (NE),10,0.0243902439
January 27 2024 (SV),10,0.0243902439
January 28 2024 (NE),10,0.0243902439
January 28 2024 (SV),10,0.0243902439
January 29 2024 (NE),10,0.0243902439
January 29 2024 (SV),10,0.0243902439
January 30 2024 (NE),10,0.0243902439
January 30 2024 (SV),10,0.0243902439
January 31 2024 (NE),10,0.0243902439
January 31 2024 (SV),10,0.0243902439
February 1 2024 (NE),30,0.512195122
February 1 2024 (SV),30,0.512195122
February 2 2024 (NE),30,0.512195122
February 2 2024 (SV),30,0.512195122
February 3 2024 (NE),30,0.512195122
February 3 2024 (SV),30,0.512195122
February 4 2024 (NE),30,0.512195122
February 4 2024 (SV),30,0.512195122
February 5 2024 (NE),30,0.512195122
February 5 2024 (SV),30,0.512195122
February 6 2024 (NE),29,0.487804878
February 6 2024 (SV),29,0.487804878
February 7 2024 (NE),29,0.487804878
February 7 2024 (SV),29,0.487804878
February 8 2024 (NE),29,0.487804878
February 8 2024 (SV),29,0.487804878
February 9 2024 (NE),29,0.487804878
February 9 2024 (SV),29,0.487804878
February 10 2024 (NE),29,0.487804878
February 10 2024 (SV),29,0.487804878
February 11 2024 (NE),29,0.487804878
February 11 2024 (SV),10,0.0243902439
February 12 2024 (NE),10,0.0243902439
February 12 2024 (SV),10,0.0243902439
February 13 2024 (NE),10,0.0243902439
February 13 2024 (SV),10,0.0243902439
February 14 2024 (NE),10,0.0243902439
February 14 2024 (SV),10,0.0243902439
